Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4620 -DL -O11111114 -fo8 -N"C:\Users\tcpipchip\Desktop\eletiva_iv\projetos\grafico\grafico.mcppi" -SP"C:\Users\tcpipchip\Desktop\eletiva_iv\softwares\mikroC PRO for PIC\defs\" -SP"C:\Users\tcpipchip\Desktop\eletiva_iv\softwares\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\tcpipchip\Desktop\eletiva_iv\projetos\grafico\" -SP"C:\Users\tcpipchip\Desktop\battle\Batalha Naval cleiton\Batalha_Naval\" -SP"C:\Documents and Settings\clinhares\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\defs\" -SP"C:\Documents and Settings\clinhares\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\uses\P18\" -SP"C:\Documents and Settings\clinhares\Desktop\Nova pasta\Batalha Naval cleiton\Batalha Naval\Batalha Naval\Batalha_Naval\" -SP"C:\Documents and Settings\XPMUser\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\defs\" -SP"C:\Documents and Settings\XPMUser\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\uses\P18\" -SP"C:\Documents and Settings\XPMUser\Desktop\Batalha Naval\Batalha Naval\Batalha_Naval\" -SP"C:\Documents and Settings\clinhares\Desktop\mikroC PRO for PIC\defs\" -SP"C:\Documents and Settings\clinhares\Desktop\mikroC PRO for PIC\uses\P18\" -SP"C:\Documents and Settings\clinhares\Desktop\Batalha Naval\Batalha_Naval\" -SP"C:\Documents and Settings\XPMUser\Desktop\Batalha Naval\Batalha_Naval\" -SP"E:\pmc\Batalha Naval\Batalha_Naval\" -SP"D:\USERS\maw\Desktop\mikroC PRO for PIC\defs\" -SP"D:\USERS\maw\Desktop\mikroC PRO for PIC\uses\P18\" -SP"D:\USERS\maw\Desktop\" "grafico.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_D.mcl" "__Lib_EEPROM_1024.mcl" "__Lib_FLASH_w64_e64.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\tcpipchip\Desktop\battle\Batalha Naval cleiton\Batalha_Naval'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\clinhares\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\clinhares\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\clinhares\Desktop\Nova pasta\Batalha Naval cleiton\Batalha Naval\Batalha Naval\Batalha_Naval'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\XPMUser\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\XPMUser\Desktop\mikroCPROforPIC32\mikroC PRO for PIC\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\XPMUser\Desktop\Batalha Naval\Batalha Naval\Batalha_Naval'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\clinhares\Desktop\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\clinhares\Desktop\mikroC PRO for PIC\uses\P18'	 
