Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4620 -DL -O11111114 -fo8 -N"C:\git\pic-jorge\trabalho_2\interrupcao.mcppi" -SP"C:\Users\adrin\Documents\Faculdade\Microcontrolador PIC\topicos\mikroC PRO for PIC\defs\" -SP"C:\Users\adrin\Documents\Faculdade\Microcontrolador PIC\topicos\mikroC PRO for PIC\uses\P18\" -SP"C:\git\pic-jorge\trabalho_2\" -SP"C:\Users\jorge\OneDrive\햞ea de Trabalho\mikroC PRO for PIC\defs\" -SP"C:\Users\jorge\OneDrive\햞ea de Trabalho\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\jorge\git\PIC\interrupcao\" "interrupcao.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_D.mcl" "__Lib_EEPROM_1024.mcl" "__Lib_FLASH_w64_e64.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\jorge\OneDrive\햞ea de Trabalho\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\jorge\OneDrive\햞ea de Trabalho\mikroC PRO for PIC\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\jorge\git\PIC\interrupcao'	 
hint: 0	1138	Available RAM: 3947 [bytes], Available ROM: 65536 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 156 ms	 
diagnostics: 0	122	Compilation Started	interrupcao.c
warning: 177	1503	Result is not defined in function: 'update_pacman_orientation'	interrupcao.c
warning: 246	1509	Generated baud rate is 19231 bps (error = 0.16 percent)	interrupcao.c
diagnostics: 327	123	Compiled Successfully	interrupcao.c
diagnostics: 0	127	All files Compiled in 516 ms	 
hint: 0	1143	Used RAM (bytes): 119 (3%)  Free RAM (bytes): 3828 (97%)	Used RAM (bytes): 119 (3%)  Free RAM (bytes): 3828 (97%)
hint: 0	1143	Used ROM (bytes): 1386 (2%)  Free ROM (bytes): 64150 (98%)	Used ROM (bytes): 1386 (2%)  Free ROM (bytes): 64150 (98%)
diagnostics: 0	125	Project Linked Successfully	interrupcao.mcppi
diagnostics: 0	128	Linked in 1625 ms	 
diagnostics: 0	129	Project 'interrupcao.mcppi' completed: 3406 ms	 
diagnostics: 0	103	Finished successfully: 12 mai 2020, 20:05:09	interrupcao.mcppi
