;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/05/2020 20:17:56
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF003EFA3  	GOTO        1862
_interrupt:
;interrupcao.c,44 :: 		void interrupt() {
0x0008	0xF01EC000  	MOVFF       R0, 30
0x000C	0xF01DC001  	MOVFF       R1, 29
0x0010	0xF01CC002  	MOVFF       R2, 28
0x0014	0xF01BC003  	MOVFF       R3, 27
0x0018	0xF01AC004  	MOVFF       R4, 26
0x001C	0xF019C005  	MOVFF       R5, 25
0x0020	0xF018C008  	MOVFF       R8, 24
0x0024	0xF017C009  	MOVFF       R9, 23
0x0028	0xF016C00A  	MOVFF       R10, 22
0x002C	0xF015C00B  	MOVFF       R11, 21
;interrupcao.c,45 :: 		if(int0if_bit)
0x0030	0xF01FCFF3  	MOVFF       PROD, 31
0x0034	0xF020CFF4  	MOVFF       PRODH, 32
0x0038	0xA2F2      	BTFSS       INT0IF_bit, 1 
0x003A	0xD004      	BRA         L_interrupt0
;interrupcao.c,47 :: 		cnt2++;
0x003C	0x4A21      	INFSNZ      _cnt2, 1 
0x003E	0x2A22      	INCF        _cnt2+1, 1 
;interrupcao.c,48 :: 		PORTA.F2 = ~PORTA.F2;
0x0040	0x7480      	BTG         PORTA, 2 
;interrupcao.c,49 :: 		int0if_bit=0;   // clear int0if_bit
0x0042	0x92F2      	BCF         INT0IF_bit, 1 
;interrupcao.c,51 :: 		}
L_interrupt0:
;interrupcao.c,53 :: 		if (TMR2IF_bit) {
0x0044	0xA29E      	BTFSS       TMR2IF_bit, 1 
0x0046	0xD023      	BRA         L_interrupt1
;interrupcao.c,54 :: 		cnt++;
0x0048	0x4A23      	INFSNZ      _cnt, 1 
0x004A	0x2A24      	INCF        _cnt+1, 1 
;interrupcao.c,55 :: 		if (cnt >= 1000) {
0x004C	0x0E80      	MOVLW       128
0x004E	0x1824      	XORWF       _cnt+1, 0 
0x0050	0x6E00      	MOVWF       R0 
0x0052	0x0E80      	MOVLW       128
0x0054	0x0A03      	XORLW       3
0x0056	0x5C00      	SUBWF       R0, 0 
0x0058	0xE102      	BNZ         L__interrupt92
0x005A	0x0EE8      	MOVLW       232
0x005C	0x5C23      	SUBWF       _cnt, 0 
L__interrupt92:
0x005E	0xE316      	BNC         L_interrupt2
;interrupcao.c,56 :: 		if (peca_por_min == 0) {
0x0060	0x0E00      	MOVLW       0
0x0062	0x1827      	XORWF       _peca_por_min+1, 0 
0x0064	0xE102      	BNZ         L__interrupt93
0x0066	0x0E00      	MOVLW       0
0x0068	0x1826      	XORWF       _peca_por_min, 0 
L__interrupt93:
0x006A	0xE10D      	BNZ         L_interrupt3
;interrupcao.c,57 :: 		peca_por_min = cnt2 * 60;
0x006C	0xF000C021  	MOVFF       _cnt2, R0
0x0070	0xF001C022  	MOVFF       _cnt2+1, R1
0x0074	0x0E3C      	MOVLW       60
0x0076	0x6E04      	MOVWF       R4 
0x0078	0x0E00      	MOVLW       0
0x007A	0x6E05      	MOVWF       R5 
0x007C	0xD8F8      	RCALL       _Mul_16x16_U
0x007E	0xF026C000  	MOVFF       R0, _peca_por_min
0x0082	0xF027C001  	MOVFF       R1, _peca_por_min+1
;interrupcao.c,59 :: 		}
L_interrupt3:
;interrupcao.c,60 :: 		PORTA.F1 = ~PORTA.F1;
0x0086	0x7280      	BTG         PORTA, 1 
;interrupcao.c,61 :: 		cnt = 0;
0x0088	0x6A23      	CLRF        _cnt 
0x008A	0x6A24      	CLRF        _cnt+1 
;interrupcao.c,62 :: 		}
L_interrupt2:
;interrupcao.c,63 :: 		TMR2IF_bit = 0;        // clear TMR2IF
0x008C	0x929E      	BCF         TMR2IF_bit, 1 
;interrupcao.c,64 :: 		}
L_interrupt1:
;interrupcao.c,65 :: 		}
L__interrupt91:
0x008E	0xFFF3C01F  	MOVFF       31, PROD
0x0092	0xFFF4C020  	MOVFF       32, PRODH
0x0096	0xF000C01E  	MOVFF       30, R0
0x009A	0xF001C01D  	MOVFF       29, R1
0x009E	0xF002C01C  	MOVFF       28, R2
0x00A2	0xF003C01B  	MOVFF       27, R3
0x00A6	0xF004C01A  	MOVFF       26, R4
0x00AA	0xF005C019  	MOVFF       25, R5
0x00AE	0xF008C018  	MOVFF       24, R8
0x00B2	0xF009C017  	MOVFF       23, R9
0x00B6	0xF00AC016  	MOVFF       22, R10
0x00BA	0xF00BC015  	MOVFF       21, R11
0x00BE	0x0011      	RETFIE      1
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x00C0	0x0E21      	MOVLW       33
0x00C2	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x00C4	0x2E0D      	DECFSZ      R13, 1, 0
0x00C6	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
0x00C8	0x0012      	RETURN      0
; end of _Delay_50us
_Div_16x16_U:
;__Lib_Math.c,102 :: 		
;__Lib_Math.c,109 :: 		
0x00CA	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,110 :: 		
0x00CC	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,111 :: 		
0x00CE	0x0E10      	MOVLW       16
;__Lib_Math.c,112 :: 		
0x00D0	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,113 :: 		
0x00D2	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,114 :: 		
0x00D4	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,115 :: 		
0x00D6	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,116 :: 		
0x00D8	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,117 :: 		
0x00DA	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,118 :: 		
0x00DC	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,119 :: 		
0x00DE	0xA0D8      	BTFSS       STATUS, 0, 0
